Dots;Area;Difference
100;0.7448;-0.211449
600;0.937533;-0.0073941
1100;0.978218;0.0356807
1600;0.9506;0.00644013
2100;0.952;0.00792237
2600;0.930246;-0.0151093
3100;0.929419;-0.0159847
3600;0.957133;0.0133572
4100;0.964702;0.021371
4600;0.931;-0.0143112
5100;0.926196;-0.0193973
5600;0.9485;0.00421677
6100;0.919272;-0.026728
6600;0.92803;-0.0174554
7100;0.935003;-0.0100733
7600;0.9359;-0.00912338
8100;0.946607;0.00221301
8600;0.93214;-0.0131047
9100;0.958246;0.0145354
9600;0.937942;-0.00696178
10100;0.940994;-0.00373008
10600;0.929706;-0.0156816
11100;0.950865;0.00672055
11600;0.940969;-0.00375665
12100;0.963478;0.0200743
12600;0.937533;-0.0073941
13100;0.935563;-0.00947979
13600;0.947718;0.00338846
14100;0.934962;-0.0101168
14600;0.942814;-0.00180355
15100;0.95404;0.0100819
15600;0.956128;0.0122931
16100;0.939096;-0.00574001
16600;0.956386;0.0125655
17100;0.942749;-0.00187254
17600;0.948818;0.00455364
18100;0.951629;0.00752929
18600;0.953445;0.00945242
19100;0.943365;-0.0012194
19600;0.9556;0.0117338
20100;0.948016;0.00370426
20600;0.954501;0.0105703
21100;0.943308;-0.00128016
21600;0.945791;0.00134837
22100;0.945767;0.00132272
22600;0.944789;0.000288184
23100;0.947503;0.00316124
23600;0.950019;0.00582462
24100;0.951291;0.00717202
24600;0.934187;-0.010937
25100;0.950405;0.00623344
25600;0.932455;-0.0127711
26100;0.950938;0.00679791
26600;0.941537;-0.00315542
27100;0.95541;0.0115322
27600;0.935332;-0.00972486
28100;0.950565;0.00640321
28600;0.948476;0.00419086
29100;0.945111;0.000628328
29600;0.940668;-0.00407575
30100;0.940149;-0.00462495
30600;0.937854;-0.00705502
31100;0.949434;0.00520573
31600;0.945576;0.00112096
32100;0.942632;-0.00199616
32600;0.946091;0.00166605
33100;0.945123;0.000641039
33600;0.942725;-0.00189746
34100;0.942869;-0.00174478
34600;0.953376;0.0093789
35100;0.944597;8.46624e-05
35600;0.951151;0.00702303
36100;0.942375;-0.00226854
36600;0.950546;0.00638343
37100;0.947245;0.00288835
37600;0.953259;0.00925481
38100;0.944864;0.000367231
38600;0.949331;0.00509613
39100;0.949171;0.00492756
39600;0.941344;-0.00335911
40100;0.942413;-0.00222782
40600;0.946641;0.00224897
41100;0.949622;0.00540509
41600;0.945417;0.000952997
42100;0.951834;0.00774633
42600;0.946413;0.00200733
43100;0.948986;0.00473091
43600;0.943048;-0.0015558
44100;0.941822;-0.00285327
44600;0.943349;-0.00123694
45100;0.950013;0.00581897
45600;0.943637;-0.000932057
46100;0.942841;-0.00177488
46600;0.94631;0.00189799
47100;0.946709;0.0023207
47600;0.940059;-0.00472026
48100;0.938926;-0.00592008
48600;0.944793;0.000291585
49100;0.947227;0.00286887
49600;0.943606;-0.000965086
50100;0.940096;-0.0046811
50600;0.945991;0.00155987
51100;0.941414;-0.00328579
51600;0.940192;-0.00457899
52100;0.946556;0.00215842
52600;0.944936;0.000443545
53100;0.939176;-0.00565505
53600;0.941312;-0.00339353
54100;0.953009;0.0089909
54600;0.947944;0.00362768
55100;0.944108;-0.000433046
55600;0.944678;0.000169941
56100;0.94342;-0.0011613
56600;0.951673;0.00757669
57100;0.947528;0.00318751
57600;0.951349;0.00723272
58100;0.948087;0.00377924
58600;0.943643;-0.000925534
59100;0.941331;-0.00337374
59600;0.942576;-0.00205539
60100;0.944453;-6.8402e-05
60600;0.934331;-0.0107842
61100;0.945419;0.000955119
61600;0.942773;-0.00184693
62100;0.948848;0.00458554
62600;0.938671;-0.00618968
63100;0.943968;-0.000581124
63600;0.940553;-0.00419656
64100;0.943888;-0.000665828
64600;0.947354;0.00300299
65100;0.944413;-0.000110408
65600;0.941726;-0.00295491
66100;0.947709;0.00337923
66600;0.945774;0.00133019
67100;0.947752;0.00342485
67600;0.938307;-0.0065755
68100;0.944858;0.000360993
68600;0.9452;0.000722924
69100;0.941424;-0.00327486
69600;0.944179;-0.000357723
70100;0.946755;0.00236979
70600;0.939162;-0.00566972
71100;0.944329;-0.000199715
71600;0.951202;0.00707774
72100;0.937973;-0.0069288
72600;0.942717;-0.00190614
73100;0.944312;-0.000216764
73600;0.94064;-0.00410471
74100;0.940509;-0.00424359
74600;0.944977;0.000487333
75100;0.949334;0.0051
75600;0.949926;0.00572646
76100;0.950304;0.00612654
76600;0.943256;-0.00133485
77100;0.941639;-0.00304735
77600;0.948958;0.00470194
78100;0.940599;-0.0041481
78600;0.950051;0.0058593
79100;0.941147;-0.00356826
79600;0.947301;0.00294681
80100;0.946746;0.00235981
80600;0.94542;0.000956215
81100;0.944087;-0.000455661
81600;0.944619;0.000107919
82100;0.942853;-0.00176183
82600;0.943956;-0.000594223
83100;0.94514;0.000659221
83600;0.946638;0.00224518
84100;0.940287;-0.00447838
84600;0.940476;-0.00427894
85100;0.938589;-0.00627647
85600;0.944464;-5.67851e-05
86100;0.947652;0.00331899
86600;0.940664;-0.00407931
87100;0.94431;-0.000218882
87600;0.945006;0.000517944
88100;0.944159;-0.000378841
88600;0.941906;-0.00276447
89100;0.946453;0.00204998
89600;0.942134;-0.00252278
90100;0.948827;0.00456307
90600;0.943504;-0.0010725
91100;0.941166;-0.0035483
91600;0.945443;0.000980443
92100;0.945418;0.000953755
92600;0.946197;0.00177892
93100;0.948568;0.00428921
93600;0.94949;0.00526511
94100;0.947903;0.00358434
94600;0.945752;0.00130713
95100;0.946715;0.00232696
95600;0.941374;-0.00332776
96100;0.942248;-0.0024024
96600;0.943336;-0.00125033
97100;0.94732;0.00296733
97600;0.943852;-0.000703774
98100;0.952748;0.00871411
98600;0.942311;-0.00233605
99100;0.939099;-0.00573636
99600;0.946349;0.00193984
